game,day,memory.max,memory.total,memory.used,memory.free
2,22,+1024000.000,+34816.000,+8969.000,+25847.000
2,23,+1024000.000,+34816.000,+9381.000,+25435.000
2,24,+1024000.000,+148480.000,+9727.000,+138753.000
2,25,+1024000.000,+48128.000,+9099.000,+39029.000
2,26,+1024000.000,+37888.000,+8994.000,+28894.000
2,27,+1024000.000,+37888.000,+9478.000,+28410.000
2,28,+1024000.000,+45056.000,+9040.000,+36016.000
2,29,+1024000.000,+37888.000,+9005.000,+28883.000
2,30,+1024000.000,+37888.000,+9527.000,+28361.000
2,31,+1024000.000,+150528.000,+9771.000,+140757.000
2,32,+1024000.000,+150528.000,+9790.000,+140738.000
2,33,+1024000.000,+40960.000,+8978.000,+31982.000
2,34,+1024000.000,+37888.000,+8915.000,+28973.000
2,35,+1024000.000,+150528.000,+9751.000,+140777.000
2,36,+1024000.000,+45056.000,+9015.000,+36041.000
2,37,+1024000.000,+34816.000,+8912.000,+25904.000
2,38,+1024000.000,+34816.000,+8957.000,+25859.000
2,39,+1024000.000,+45056.000,+9075.000,+35981.000
2,40,+1024000.000,+30720.000,+8944.000,+21776.000
2,41,+1024000.000,+30720.000,+8834.000,+21886.000
2,42,+1024000.000,+30720.000,+8843.000,+21877.000
2,43,+1024000.000,+45056.000,+9134.000,+35922.000
2,44,+1024000.000,+34816.000,+8989.000,+25827.000
2,45,+1024000.000,+34816.000,+8929.000,+25887.000
2,46,+1024000.000,+34816.000,+8887.000,+25929.000
2,47,+1024000.000,+148480.000,+10010.000,+138470.000
2,48,+1024000.000,+45056.000,+9070.000,+35986.000
2,49,+1024000.000,+34816.000,+8876.000,+25940.000
2,50,+1024000.000,+34816.000,+8987.000,+25829.000
2,51,+1024000.000,+45056.000,+9029.000,+36027.000
2,52,+1024000.000,+34816.000,+8916.000,+25900.000
2,53,+1024000.000,+34816.000,+8970.000,+25846.000
2,54,+1024000.000,+148480.000,+9757.000,+138723.000
2,55,+1024000.000,+45056.000,+8999.000,+36057.000
2,56,+1024000.000,+30720.000,+8963.000,+21757.000
2,57,+1024000.000,+30720.000,+9329.000,+21391.000
2,58,+1024000.000,+45056.000,+8998.000,+36058.000
2,59,+1024000.000,+45056.000,+9528.000,+35528.000
2,60,+1024000.000,+153600.000,+9746.000,+143854.000
2,61,+1024000.000,+153600.000,+9747.000,+143853.000
2,62,+1024000.000,+45056.000,+9060.000,+35996.000
2,63,+1024000.000,+34816.000,+8906.000,+25910.000
2,64,+1024000.000,+34816.000,+8963.000,+25853.000
2,65,+1024000.000,+40960.000,+8965.000,+31995.000
2,66,+1024000.000,+37888.000,+8913.000,+28975.000
2,67,+1024000.000,+34816.000,+8962.000,+25854.000
2,68,+1024000.000,+148480.000,+9741.000,+138739.000
2,69,+1024000.000,+45056.000,+8992.000,+36064.000
2,70,+1024000.000,+45056.000,+9406.000,+35650.000
2,71,+1024000.000,+37888.000,+8997.000,+28891.000
2,72,+1024000.000,+150528.000,+9675.000,+140853.000
2,73,+1024000.000,+40960.000,+8954.000,+32006.000
2,74,+1024000.000,+40960.000,+9430.000,+31530.000
2,75,+1024000.000,+151552.000,+9702.000,+141850.000
2,76,+1024000.000,+45056.000,+9049.000,+36007.000
2,77,+1024000.000,+45056.000,+9437.000,+35619.000
2,78,+1024000.000,+40960.000,+8987.000,+31973.000
2,79,+1024000.000,+37888.000,+8927.000,+28961.000
